Name,Maths,Science,English
Student_1,97,65,71
Student_2,61,62,67
Student_3,72,80,90
Student_4,52,100,86
Student_5,52,67,99
Student_6,67,57,100
Student_7,94,83,68
Student_8,81,59,94
Student_9,75,52,66
Student_10,89,90,61
Student_11,92,74,90
Student_12,94,91,73
Student_13,93,65,78
Student_14,73,53,89
Student_15,54,89,70
Student_16,97,100,98
Student_17,99,58,68
Student_18,81,68,69
Student_19,76,66,77
Student_20,100,50,71
Student_21,77,60,51
Student_22,79,75,98
Student_23,96,59,85
Student_24,60,69,62
Student_25,72,57,95
Student_26,57,79,82
Student_27,58,68,56
Student_28,100,91,56
Student_29,62,69,84
Student_30,76,61,83
Student_31,71,68,51
Student_32,87,66,50
Student_33,52,56,59
Student_34,85,89,86
Student_35,59,65,93
Student_36,87,97,77
Student_37,97,83,99
Student_38,74,77,91
Student_39,70,76,83
Student_40,75,93,69
Student_41,69,67,90
Student_42,95,61,88
Student_43,91,75,90
Student_44,61,72,69
Student_45,69,82,96
Student_46,71,83,71
Student_47,55,58,96
Student_48,73,65,66
Student_49,99,82,64
Student_50,50,90,84
Student_51,72,66,59
Student_52,58,51,99
Student_53,51,51,62
Student_54,61,63,91
Student_55,56,72,54
Student_56,85,78,59
Student_57,58,80,68
Student_58,77,100,52
Student_59,62,82,63
Student_60,50,52,87
Student_61,82,81,77
Student_62,61,70,91
Student_63,72,84,97
Student_64,63,89,89
Student_65,73,86,82
Student_66,99,60,81
Student_67,64,55,77
Student_68,75,59,71
Student_69,53,62,90
Student_70,68,66,60
Student_71,83,84,94
Student_72,74,66,58
Student_73,56,65,55
Student_74,57,74,71
Student_75,58,78,56
Student_76,76,60,59
Student_77,77,57,68
Student_78,72,68,65
Student_79,72,57,80
Student_80,63,81,83
Student_81,54,58,94
Student_82,73,59,71
Student_83,96,99,90
Student_84,85,79,68
Student_85,73,82,54
Student_86,72,69,83
Student_87,51,64,96
Student_88,100,80,97
Student_89,58,70,66
Student_90,55,78,66
Student_91,72,60,53
Student_92,82,57,72
Student_93,71,53,98
Student_94,82,91,50
Student_95,89,68,75
Student_96,59,50,81
Student_97,75,97,79
Student_98,57,64,67
Student_99,57,50,94
Student_100,74,75,55
Student_101,71,94,79
