OrderID,OrderDate,ShipDate
CA-2017-152156,2017-11-08,2017-11-09
CA-2017-152156,2017-11-09,2017-11-11
CA-2017-138688,2017-11-10,2017-06-16
US-2016-108966,2017-11-11,2016-10-18
US-2016-108966,2017-11-12,2016-10-18
CA-2015-115812,2017-11-13,2015-06-14
CA-2015-115812,2017-11-14,2015-06-14
CA-2015-115812,2017-11-15,2015-06-14
CA-2015-115812,2017-11-16,2015-06-14
CA-2015-115812,2017-11-17,2015-06-14
CA-2015-115812,2017-11-18,2015-06-14
CA-2015-115812,2017-11-19,2015-06-14
CA-2018-114412,2017-11-20,2018-04-20
CA-2017-161389,2017-11-21,2017-12-10
US-2016-118983,2017-11-22,2016-11-26
US-2016-118983,2017-11-23,2016-11-26
CA-2015-105893,2017-11-24,2015-11-18
CA-2015-167164,2017-11-25,2015-05-15
CA-2015-143336,2017-11-26,2015-09-01
CA-2015-143336,2017-11-27,2015-09-01
CA-2015-143336,2017-11-28,2015-09-01
CA-2017-137330,2017-11-29,2017-12-13
CA-2017-137330,2017-11-30,2017-12-13
US-2018-156909,2017-12-01,2018-07-18
CA-2016-106320,2017-12-02,2016-09-30
CA-2017-121755,2017-12-03,2017-01-20
CA-2017-121755,2017-12-04,2017-01-20
US-2016-150630,2017-12-05,2016-09-21
US-2016-150630,2017-12-06,2016-09-21
US-2016-150630,2017-12-07,2016-09-21
US-2016-150630,2017-12-08,2016-09-21
US-2016-150630,2017-12-09,2016-09-21
US-2016-150630,2017-12-10,2016-09-21
US-2016-150630,2017-12-11,2016-09-21
CA-2018-107727,2017-12-12,2018-10-23
CA-2017-117590,2017-12-13,2017-12-10
CA-2017-117590,2017-12-14,2017-12-10
CA-2016-117415,2017-12-15,2016-12-31
CA-2016-117415,2017-12-16,2016-12-31
CA-2016-117415,2017-12-17,2016-12-31
CA-2016-117415,2017-12-18,2016-12-31
CA-2018-120999,2017-12-19,2018-09-15
CA-2017-101343,2017-12-20,2017-07-22
CA-2018-139619,2017-12-21,2018-09-23
CA-2017-118255,2017-12-22,2017-03-13
CA-2017-118255,2017-12-23,2017-03-13
CA-2015-146703,2017-12-24,2015-10-25
CA-2017-169194,2017-12-25,2017-06-25
CA-2017-169194,2017-12-26,2017-06-25
CA-2016-115742,2017-12-27,2016-04-22
CA-2016-115742,2017-12-28,2016-04-22
CA-2016-115742,2017-12-29,2016-04-22
CA-2016-115742,2017-12-30,2016-04-22
CA-2017-105816,2017-12-31,2017-12-17
CA-2017-105816,2018-01-01,2017-12-17
CA-2017-111682,2018-01-02,2017-06-18
CA-2017-111682,2018-01-03,2017-06-18
CA-2017-111682,2018-01-04,2017-06-18
CA-2017-111682,2018-01-05,2017-06-18
CA-2017-111682,2018-01-06,2017-06-18
CA-2017-111682,2018-01-07,2017-06-18
CA-2017-111682,2018-01-08,2017-06-18
CA-2016-135545,2018-01-09,2016-11-30
CA-2016-135545,2018-01-10,2016-11-30
CA-2016-135545,2018-01-11,2016-11-30
CA-2016-135545,2018-01-12,2016-11-30
US-2016-164175,2018-01-13,2016-05-05
CA-2015-106376,2018-01-14,2015-12-10
CA-2015-106376,2018-01-15,2015-12-10
CA-2017-119823,2018-01-16,2017-06-06
CA-2017-106075,2018-01-17,2017-09-23
CA-2018-114440,2018-01-18,2018-09-17
US-2016-134026,2018-01-19,2016-05-02
US-2016-134026,2018-01-20,2016-05-02
US-2016-134026,2018-01-21,2016-05-02
US-2018-118038,2018-01-22,2018-12-11
US-2018-118038,2018-01-23,2018-12-11
US-2018-118038,2018-01-24,2018-12-11
US-2015-147606,2018-01-25,2015-12-01
CA-2017-127208,2018-01-26,2017-06-15
CA-2017-127208,2018-01-27,2017-06-15
CA-2015-139451,2018-01-28,2015-10-16
CA-2015-139451,2018-01-29,2015-10-16
CA-2016-149734,2018-01-30,2016-09-08
US-2018-119662,2018-01-31,2018-11-16
CA-2018-140088,2018-02-01,2018-05-30
CA-2018-155558,2018-02-02,2018-11-02
CA-2018-155558,2018-02-03,2018-11-02
CA-2017-159695,2018-02-04,2017-04-10
CA-2017-109806,2018-02-05,2017-09-22
CA-2017-109806,2018-02-06,2017-09-22
CA-2017-109806,2018-02-07,2017-09-22
CA-2016-149587,2018-02-08,2016-02-05
CA-2016-149587,2018-02-09,2016-02-05
CA-2016-149587,2018-02-10,2016-02-05
US-2018-109484,2018-02-11,2018-11-12
CA-2018-161018,2018-02-12,2018-11-11
CA-2018-157833,2018-02-13,2018-06-20
CA-2017-149223,2018-02-14,2017-09-11
CA-2017-158568,2018-02-15,2017-09-02
CA-2017-158568,2018-02-16,2017-09-02
CA-2017-158568,2018-02-17,2017-09-02
CA-2017-129903,2018-02-18,2017-12-04
US-2016-156867,2018-02-19,2016-11-17
US-2016-156867,2018-02-20,2016-11-17
US-2016-156867,2018-02-21,2016-11-17
CA-2018-119004,2018-02-22,2018-11-28
CA-2018-119004,2018-02-23,2018-11-28
CA-2018-119004,2018-02-24,2018-11-28
CA-2016-129476,2018-02-25,2016-10-20
CA-2018-146780,2018-02-26,2018-12-30
CA-2017-128867,2018-02-27,2017-11-10
CA-2017-128867,2018-02-28,2017-11-10
CA-2015-115259,2018-03-01,2015-08-27
CA-2015-115259,2018-03-02,2015-08-27
CA-2015-115259,2018-03-03,2015-08-27
CA-2015-115259,2018-03-04,2015-08-27
CA-2016-110457,2018-03-05,2016-03-06
US-2016-136476,2018-03-06,2016-04-10
CA-2017-103730,2018-03-07,2017-06-15
CA-2017-103730,2018-03-08,2017-06-15
CA-2017-103730,2018-03-09,2017-06-15
CA-2017-103730,2018-03-10,2017-06-15
CA-2017-103730,2018-03-11,2017-06-15
US-2015-152030,2018-03-12,2015-12-28
US-2015-134614,2018-03-13,2015-09-25
US-2018-107272,2018-03-14,2018-11-12
US-2018-107272,2018-03-15,2018-11-12
US-2017-125969,2018-03-16,2017-11-10
US-2017-125969,2018-03-17,2017-11-10
US-2018-164147,2018-03-18,2018-02-05
US-2018-164147,2018-03-19,2018-02-05
